epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,33340.5,1.32991,0.59255,0.93707,0.71214,0.55852,0.61581,0.38568,1.31401,0.55642,0.93305,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33761.2,1.3285,0.5907,0.93645,0.7177,0.55601,0.61633,0.38536,1.3142,0.55646,0.93294,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,34176.5,1.36635,0.58756,0.94249,0.73031,0.55245,0.61808,0.38653,1.31407,0.55663,0.93279,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34591.3,1.36099,0.5842,0.94137,0.70486,0.56394,0.61678,0.38606,1.31359,0.55666,0.93247,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,35007,1.35891,0.58163,0.9403,0.70763,0.56537,0.61688,0.38721,1.31353,0.55701,0.93232,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35421.9,1.35461,0.57815,0.93805,0.70901,0.56706,0.615,0.38667,1.31388,0.55704,0.93206,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,35836.7,1.35278,0.57572,0.93824,0.70116,0.57398,0.61459,0.3856,1.31441,0.55728,0.93206,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,36253.9,1.34745,0.57083,0.93528,0.71127,0.55941,0.61304,0.38718,1.31476,0.55765,0.93193,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36667,1.3471,0.56866,0.93481,0.70847,0.5672,0.61217,0.3863,1.31569,0.55796,0.93189,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,37081.7,1.34178,0.56532,0.93487,0.70642,0.56572,0.61176,0.38391,1.31656,0.55822,0.93201,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
