               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.035321,            0.041284,           0.0021969,             0.74307,             0.48205,              0.5484,             0.36606,            0.038714,            0.047542,           0.0063887,            0.002179,            0.002179,            0.002179
                  81,            0.035403,            0.041189,           0.0020628,             0.72536,             0.49198,             0.54929,             0.36729,            0.038722,            0.047678,           0.0064235,             0.00208,             0.00208,             0.00208
                  82,            0.035262,            0.041462,           0.0020861,             0.71747,             0.49781,             0.54989,             0.36803,             0.03873,            0.047681,           0.0064683,            0.001981,            0.001981,            0.001981
                  83,            0.035173,            0.041033,           0.0020281,             0.73223,             0.48736,              0.5507,              0.3674,            0.038724,            0.047635,            0.006524,            0.001882,            0.001882,            0.001882
                  84,            0.035151,            0.041042,           0.0020713,             0.73153,             0.48896,             0.54816,             0.36898,             0.03875,             0.04771,           0.0064957,            0.001783,            0.001783,            0.001783
                  85,            0.035039,            0.040845,           0.0020092,             0.71527,             0.49742,             0.54662,             0.36663,            0.038762,            0.047784,           0.0065612,            0.001684,            0.001684,            0.001684
                  86,            0.034976,            0.040768,           0.0019365,             0.71247,             0.49886,             0.54689,             0.36703,            0.038762,            0.047927,           0.0065813,            0.001585,            0.001585,            0.001585
                  87,            0.035059,             0.04101,           0.0020249,              0.6828,             0.51885,             0.54923,              0.3671,            0.038764,            0.047964,           0.0065899,            0.001486,            0.001486,            0.001486
                  88,            0.034967,            0.040568,            0.001907,             0.72447,             0.48811,             0.54939,             0.36745,            0.038772,             0.04799,           0.0065874,            0.001387,            0.001387,            0.001387
                  89,            0.034987,            0.040808,           0.0019174,             0.70683,             0.49961,             0.54632,             0.36534,            0.038766,            0.047955,            0.006685,            0.001288,            0.001288,            0.001288
                  90,            0.034761,            0.040646,           0.0019391,             0.73385,                0.49,             0.54524,             0.36577,             0.03875,            0.047968,           0.0067794,            0.001189,            0.001189,            0.001189
                  91,            0.034577,            0.040469,           0.0018427,             0.72886,             0.49527,             0.54384,             0.36428,            0.038751,            0.048036,           0.0068401,             0.00109,             0.00109,             0.00109
                  92,            0.034714,            0.040523,           0.0018612,             0.73333,             0.48548,             0.54238,             0.36319,            0.038758,            0.048124,           0.0069057,            0.000991,            0.000991,            0.000991
                  93,            0.034626,            0.040476,           0.0018054,             0.72904,             0.48399,             0.54424,             0.36471,             0.03878,            0.048195,           0.0068828,            0.000892,            0.000892,            0.000892
                  94,            0.034567,            0.040097,           0.0018463,             0.72049,             0.49033,             0.54605,             0.36744,              0.0388,            0.048234,           0.0068543,            0.000793,            0.000793,            0.000793
                  95,            0.034451,            0.040276,           0.0017983,             0.72745,             0.49181,             0.54354,              0.3666,            0.038812,            0.048306,           0.0068895,            0.000694,            0.000694,            0.000694
                  96,            0.034317,            0.039859,           0.0017774,             0.73429,             0.49276,             0.54232,             0.36666,            0.038826,            0.048346,           0.0069116,            0.000595,            0.000595,            0.000595
                  97,            0.034352,            0.039734,           0.0017453,             0.72943,             0.49288,             0.54239,             0.36707,            0.038841,            0.048406,           0.0069541,            0.000496,            0.000496,            0.000496
                  98,            0.034374,            0.039837,           0.0017298,             0.73175,             0.48657,             0.54221,             0.36604,            0.038846,            0.048439,           0.0069961,            0.000397,            0.000397,            0.000397
                  99,            0.034398,            0.039771,           0.0017975,             0.72461,             0.48888,              0.5418,             0.36621,            0.038841,            0.048472,            0.007016,            0.000298,            0.000298,            0.000298
