arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_10,day_clear,all,mAP50,0.41837,1764,21352,True,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,all,mAP75,0.26161,1764,21352,True,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,car,mAP50-95,0.45262,1764,19633,True,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,car,mAP50,0.74434,1764,19633,True,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,car,mAP75,0.45003,1764,19633,True,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,truck,mAP50-95,0.31131,1764,1021,True,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,truck,mAP50,0.43666,1764,1021,True,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,truck,mAP75,0.34641,1764,1021,True,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,bus,mAP50-95,0.32237,1764,380,False,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,bus,mAP50,0.42666,1764,380,False,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,bus,mAP75,0.36196,1764,380,False,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,motor,mAP50-95,0.1176,1764,111,False,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,motor,mAP50,0.26656,1764,111,False,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,motor,mAP75,0.06628,1764,111,False,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,bike,mAP50-95,0.09976,1764,207,False,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,bike,mAP50,0.21761,1764,207,False,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,bike,mAP75,0.08336,1764,207,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,all,mAP50-95,0.28408,396,4356,True,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,all,mAP50,0.46563,396,4356,True,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,all,mAP75,0.29622,396,4356,True,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,car,mAP50-95,0.46986,396,3930,True,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,car,mAP50,0.76643,396,3930,True,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,car,mAP75,0.46992,396,3930,True,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,truck,mAP50-95,0.36212,396,272,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,truck,mAP50,0.52497,396,272,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,truck,mAP75,0.39373,396,272,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,bus,mAP50-95,0.26962,396,97,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,bus,mAP50,0.39344,396,97,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,bus,mAP75,0.29987,396,97,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,motor,mAP50-95,0.18159,396,16,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,motor,mAP50,0.34006,396,16,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,motor,mAP75,0.2161,396,16,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,bike,mAP50-95,0.1372,396,41,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,bike,mAP50,0.30327,396,41,False,2026-09-12T10:24:16.975555+00:00
base_10,day_rainy,bike,mAP75,0.10149,396,41,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,all,mAP50-95,0.25518,422,4842,True,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,all,mAP50,0.40922,422,4842,True,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,all,mAP75,0.26759,422,4842,True,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,car,mAP50-95,0.4547,422,4421,True,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,car,mAP50,0.7471,422,4421,True,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,car,mAP75,0.45374,422,4421,True,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,truck,mAP50-95,0.35774,422,264,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,truck,mAP50,0.50703,422,264,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,truck,mAP75,0.40821,422,264,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,bus,mAP50-95,0.27206,422,97,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,bus,mAP50,0.37968,422,97,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,bus,mAP75,0.28017,422,97,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,motor,mAP50-95,0.09521,422,7,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,motor,mAP50,0.18647,422,7,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,motor,mAP75,0.14851,422,7,False,2026-09-12T10:24:16.975555+00:00
