               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.012429,            0.002316,            0.001719,             0.13604,             0.17888,             0.12044,            0.072611,            0.046048,             0.24157,           0.0070296,            0.002377,            0.002377,            0.002377
                  79,            0.012279,           0.0022914,           0.0015955,             0.13539,             0.17632,             0.11926,            0.072065,            0.045989,             0.24369,           0.0070244,            0.002278,            0.002278,            0.002278
                  80,            0.012186,           0.0022656,           0.0015745,              0.1353,             0.17368,             0.11873,            0.071818,            0.045918,             0.24558,           0.0070148,            0.002179,            0.002179,            0.002179
                  81,            0.012249,           0.0022483,           0.0016536,             0.13526,             0.17164,             0.11731,              0.0709,            0.045846,             0.24779,           0.0069961,             0.00208,             0.00208,             0.00208
                  82,            0.012147,           0.0022522,            0.001604,             0.13521,             0.17123,             0.11673,            0.070644,            0.045777,             0.24852,           0.0069774,            0.001981,            0.001981,            0.001981
                  83,             0.01215,           0.0022699,           0.0015331,             0.13481,             0.17205,              0.1167,            0.070681,              0.0457,             0.24895,           0.0069589,            0.001882,            0.001882,            0.001882
                  84,            0.012145,           0.0022604,           0.0016361,             0.13496,             0.17003,             0.11623,            0.070454,             0.04563,             0.25009,           0.0069491,            0.001783,            0.001783,            0.001783
                  85,            0.011722,           0.0022111,           0.0016268,             0.13453,             0.16864,             0.11598,            0.070532,            0.045565,             0.25106,           0.0069367,            0.001684,            0.001684,            0.001684
                  86,            0.012076,           0.0022887,           0.0016712,             0.13466,             0.16697,              0.1153,            0.070297,            0.045504,             0.25253,           0.0069281,            0.001585,            0.001585,            0.001585
                  87,            0.012285,           0.0022906,           0.0016258,             0.13333,             0.16609,             0.11363,            0.069185,            0.045439,             0.25362,           0.0069147,            0.001486,            0.001486,            0.001486
                  88,             0.01154,           0.0021721,           0.0014942,             0.13162,             0.16291,             0.11245,            0.068299,            0.045385,             0.25572,            0.006899,            0.001387,            0.001387,            0.001387
                  89,            0.011547,           0.0021983,            0.001538,             0.13149,              0.1627,              0.1128,            0.068589,            0.045341,             0.25733,           0.0068922,            0.001288,            0.001288,            0.001288
                  90,             0.01119,           0.0021532,           0.0014747,             0.13141,             0.16165,             0.11234,            0.068587,            0.045284,             0.25876,           0.0068805,            0.001189,            0.001189,            0.001189
                  91,            0.011398,            0.002186,           0.0015265,             0.13065,             0.16164,             0.11164,            0.068102,            0.045243,             0.26001,           0.0068732,             0.00109,             0.00109,             0.00109
                  92,            0.011473,           0.0022179,           0.0015305,             0.12859,             0.16017,             0.11037,            0.067214,            0.045197,              0.2615,           0.0068648,            0.000991,            0.000991,            0.000991
                  93,            0.011583,            0.002245,           0.0015072,             0.12747,             0.15932,             0.10964,            0.066901,            0.045148,             0.26259,           0.0068578,            0.000892,            0.000892,            0.000892
                  94,            0.011289,           0.0022117,             0.00135,             0.12703,             0.15875,             0.10954,            0.066591,            0.045092,             0.26355,           0.0068497,            0.000793,            0.000793,            0.000793
                  95,            0.011388,           0.0021808,           0.0013396,             0.12674,             0.15867,             0.10946,            0.066695,            0.045031,             0.26483,           0.0068419,            0.000694,            0.000694,            0.000694
                  96,            0.011265,             0.00222,           0.0014066,              0.1256,             0.15726,             0.10829,            0.065779,            0.044992,             0.26647,           0.0068441,            0.000595,            0.000595,            0.000595
                  97,             0.01099,           0.0021635,            0.001294,             0.12613,             0.15684,             0.10843,            0.066036,            0.044967,             0.26791,           0.0068418,            0.000496,            0.000496,            0.000496
                  98,            0.010428,           0.0020696,           0.0012694,             0.12537,             0.15457,             0.10768,            0.065741,            0.044951,             0.26956,           0.0068456,            0.000397,            0.000397,            0.000397
                  99,            0.010594,            0.002124,           0.0013043,             0.12482,             0.15349,             0.10713,            0.065343,             0.04493,             0.27136,           0.0068487,            0.000298,            0.000298,            0.000298
