epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,82135.6,1.38766,0.8784,0.94044,0.70395,0.57052,0.62119,0.38702,1.32023,0.78518,0.93399,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,83549.5,1.38482,0.87632,0.93994,0.70532,0.57001,0.62138,0.38618,1.32013,0.78501,0.93385,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,84936.2,1.38147,0.87149,0.93889,0.71395,0.56012,0.62127,0.38515,1.31969,0.78426,0.93364,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,86363.2,1.37956,0.87094,0.93788,0.72838,0.54701,0.6204,0.38496,1.31951,0.78414,0.93361,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,87748.9,1.37798,0.86891,0.93766,0.72944,0.54818,0.62212,0.3863,1.31916,0.78376,0.93358,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,89170.2,1.37833,0.86458,0.93697,0.72858,0.54625,0.62369,0.38659,1.31886,0.78313,0.93346,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,90588.6,1.37479,0.86268,0.93683,0.71363,0.55759,0.62373,0.38736,1.31867,0.78321,0.93328,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,92005,1.37356,0.86111,0.93641,0.71291,0.55684,0.62418,0.38816,1.31869,0.78289,0.93307,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,93410.9,1.37252,0.85879,0.93456,0.71395,0.55439,0.62265,0.3864,1.31895,0.78212,0.93308,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,94832.2,1.36806,0.85584,0.9348,0.71571,0.55613,0.62227,0.38597,1.31896,0.78195,0.93313,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,96242.2,1.36787,0.85294,0.93502,0.71431,0.55939,0.62203,0.38651,1.31874,0.7817,0.93316,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,97671.6,1.3648,0.8484,0.93331,0.71469,0.56081,0.62058,0.38575,1.31817,0.78123,0.93282,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,99069.8,1.36284,0.84576,0.93224,0.7202,0.54992,0.62021,0.38495,1.31749,0.78067,0.93251,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,100493,1.36189,0.84491,0.93153,0.73178,0.5423,0.61955,0.38402,1.31736,0.78027,0.9323,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,101883,1.36129,0.84365,0.93107,0.71207,0.5453,0.61976,0.38449,1.31686,0.78012,0.93188,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,103296,1.35815,0.83907,0.93206,0.70417,0.55063,0.61968,0.38333,1.31694,0.78034,0.93171,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,104712,1.35501,0.83572,0.93021,0.69178,0.55843,0.61833,0.3835,1.31703,0.78009,0.93161,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,106125,1.35269,0.83082,0.92916,0.68709,0.5642,0.6184,0.385,1.31707,0.77984,0.93159,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,107510,1.39126,0.8329,0.94819,0.6845,0.55825,0.61871,0.38359,1.31732,0.77962,0.93177,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,108916,1.3876,0.82798,0.94551,0.69742,0.54633,0.61662,0.38246,1.31735,0.78008,0.93161,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,110323,1.38343,0.82416,0.94486,0.72628,0.53167,0.61598,0.38185,1.3173,0.78031,0.93135,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,111722,1.38112,0.82,0.94433,0.71589,0.54338,0.61497,0.38079,1.31693,0.78079,0.93112,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,113104,1.37835,0.81517,0.94393,0.70233,0.54643,0.61251,0.37952,1.31735,0.78137,0.93137,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,114486,1.37451,0.81078,0.94266,0.69308,0.55586,0.61067,0.37845,1.31794,0.78147,0.93155,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,115892,1.36965,0.80457,0.94205,0.70264,0.54861,0.60924,0.3775,1.31806,0.78157,0.93188,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,117294,1.36541,0.79925,0.93941,0.69853,0.54821,0.60735,0.37538,1.31928,0.78198,0.93193,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,118628,1.36182,0.79318,0.93895,0.69927,0.54342,0.60617,0.37424,1.3203,0.783,0.93206,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,119905,1.35894,0.7909,0.9384,0.69509,0.53651,0.60303,0.37237,1.32078,0.78425,0.93215,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,121252,1.35268,0.78323,0.93588,0.70254,0.53861,0.60549,0.37234,1.32143,0.78431,0.93242,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,122633,1.34902,0.77732,0.93545,0.7,0.53818,0.60456,0.37205,1.32164,0.78543,0.93239,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,124059,1.34566,0.77317,0.93419,0.70454,0.54289,0.60424,0.37236,1.32287,0.78635,0.93263,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,125411,1.33866,0.76729,0.93233,0.69802,0.54014,0.60289,0.37072,1.32374,0.78755,0.93292,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,126828,1.33603,0.76087,0.93159,0.70065,0.54584,0.60148,0.36862,1.3246,0.78825,0.93309,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,128229,1.33131,0.75449,0.93037,0.69742,0.54359,0.59875,0.36733,1.32564,0.78902,0.93318,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,129636,1.32588,0.75007,0.92879,0.6971,0.54513,0.59586,0.36435,1.32691,0.79015,0.93366,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,131017,1.32125,0.74554,0.92754,0.69351,0.54579,0.5953,0.36346,1.32812,0.791,0.93393,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,132416,1.31728,0.74022,0.92655,0.69051,0.54562,0.59361,0.36312,1.32937,0.79173,0.93441,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,133827,1.31352,0.73503,0.92523,0.68085,0.54984,0.59002,0.36057,1.33072,0.79247,0.93471,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
